Vendor,Buyer,Invoice,Amount,Date,
Downtown motors pvt ltd,Raghuvanshi motor pvt ltd,DT2021JIN013390,315,20/03/2013,1604944472963.jpeg
Salman agencies,Reliance BP mobility limited,21073006329,5543.11,30/07/2021,B41F12398907485B885602CD7D06340F.jpeg
Jubilent foodworks limited,,DPI65807/2016-2017/29869,119.3,11/29/2016,bill.jpg
Plaza restaurant,,1858,355,,bill (1).jpg
atithi fine dine,Niranjan,1462,1191,19-03-16,bill (2).jpg
Hardcastle Restaurants Pvt Ltd,,2149,18,21/07/2018,bill (3).jpg
Domino's Pizza TAX INVOICE Jubilant Foodworks,,66354/17/16504,378.61,07/02/2017,DDuXW7uXgAE_oBR.jpg
Shoppers  stop Ltd SSL-AMRITSAR,,21571,7104.8,16/02/2022,FLurOxsacAEzmkI.jpeg
BIG BAZAAR,,L51909MH20068269,5587,01.07.2017,m_2711041c7fcf-2020-03-08-20-52-35-000852.jpg
Connaught Plaza restaurants Pvt Ltd,,,357,,mcdonald-s.jpg
SILVERSMITHS,,973415995,135.9,29/05/2015,silversmiths.jpg
EMPIRE RESTAURANT,,65800,12930,29-07-2015,their-actual-bill.jpg
The Only Place,,114,2840,21/8/2015,the-only-place.jpg
tan woon yann,,TD01167104,9,25/12/2018,X00016469612.jpg
CROSS CHANNEL NEIWORK SDN.BHD,,BTG-050036,7.5,31/12/2017,X51005230657.jpg
ASIA MART,,CS02070163,32.7,22/12/2017,X51005268472.jpg
Shell ISNI PETRO TRADING,,60000053668,86,18/03/18,X51005306399.jpg
OLDTOWN WHITE COFFEE,,37617,30.25,22 Mar 18,X51005337867.jpg
TEO HENG STATIONERY & BOOKS,,CS1802/27714,153.35,12/02/2018,X51005361907.jpg
AIK HUAT HARDWAKE ENTERPRISE (SETIA ALAM) SDN BHD,,CSP0393921,15,15/06/2017,X51005268200.jpg
SWC ENTERPRISE SDH BHD,,No:0100036262,4.2,02/01/2018,X51005361923.jpg
AEON CO.(M) BHD (126926-H),,2018030610100080498,70.75,06/03/2018,X51005433494.jpg
PERNIAGAAN ZHENG HUI,,CS00084670,332.3,09/03/2018,X51005433533.jpg
Home of Sicky Bones,,Invoice no:000039121,593.1,2018-03-23,X51005442361.jpg
PREMIO STATIONERY SDN BHD,,SS3-154439,13.4,20/03/2018,X51005621482.jpg
RESTORAN WAN SHENG,,1047523,9.6,16-03-2018,X51005711442.jpg
SEN LEE HEONG RESTAURANT,,#11372,77.4,12-01-2018,X51005719863.jpg
99 SPEED MART S/B (519537-X),,18311/103/T0280,213,17-02-18,X51005719882.jpg
YONG CEN ENTERPRISE,,CS00668595,65.7,06/01/2018,X51005742110.jpg
BILLION SIX ENTERPRISE,,C-170891,63.8,22/02/2018,X51005745183.jpg
YONG CEN ENTERPRISE,,CS00668594,65.7,06/01/2018,X51005763964.jpg
Syarikat Kamlai seong sdn bhd,,INV-37002,190,08-03-2018,X51007433809.jpg
Guardian Health and Beauty Sdn Bhd HandarBaru kawang,,21777,2.28,18/05/18,X51006867435.jpg
Becon Enterprise,,17756,247.55,13-09-2017,X51006857660.jpg
MPH BOOKSTORES SDN BHD ,,INVOICENO:008558 ,31.45,11/12/2017,X51006857265.jpg
THE COFFEE BEAN &TEA LEAF(M) SDN.BHD,,A546756,39.7,15/12/2017,X51006828201.jpg
RESTORAN HOETIM (002612214-H),,,83,28/05/2018,X51006647933.jpg
 UROKO JAPANESE CUISINE SDN BHD,,01H-26411,87.1,14/05/2018,X51006647932.jpg
WESTERN EASTERN STATIONERY SON.BHD,,38354,1.38,30-04-2018,X51006466060.jpg
S&Y STATIONERY (002050590-H),,CS-0004323,72,05-Jan-2017,X51006401723.jpg
99 SPEEDMART (S/B),,18028/103/T0369,72.75,10-05-17,X51006393377.jpg
SUPER.SEVEN CASH & CARRY SDN 3HD,,138652,28.05,22-06-2017,X51006392313.jpg
BEMED (SP) SDN. BHD,,78283158333,155.66,14/Jun/2017,X51006392299.jpg
Broadview Marketing Sdn Bhd,,BM-161113,18,03/06/2017,X51006392273.jpg
AnekaIntertrade Marketing SdnBnd,,SAB01201706190120,50.8,19/06/17,X51006392167.jpg
Broadview Marketing Sdn Bhd,,BM-159572,4.7,15/05/2017,X51006388082.jpg
KING'S CONFECTIONERY,,KJ130674721,27.5,21/05/17,X51006388081.jpg
AMANO MALAYSIA SDN BHD,,INV-No.0002300417000116,1,30/04/2017,X51006387953.jpg
YONG SO0N FATT S/B,,C01099379,760,6/2/2017,X51006335552.jpg
Golden Arches Restaurants Sdn Bhd,,INV#001780200112117,29.3,25/12/2016,X51006334926(3).jpg
B & BEST RESTAURANT,,00118887 / P0S01,7.4,10/02/2017,X51006329395(2).jpg
B & BEST RESTAURANT,,00127408 / POSO1,14.8,20/03/2017,X51006328920.jpg
